Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,45.5051,-122.675,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Providence, RI",US,2020-03-01T15:33:03,1,0,0,41.824,-71.4128,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Unknown,China,2020-03-01T10:13:19,0,0,0,,,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Kiribati,2020-03-01T10:13:19,0,0,0,-3.3704,-168.734,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Palau,2020-03-01T10:13:19,0,0,0,7.515,134.5825,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Cook Islands,New Zealand,2020-03-01T10:13:19,0,0,0,-21.2367,-159.7777,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Summer Olympics 2020,2020-03-01T10:13:19,0,0,0,35.6491,139.7737,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Johor,Malaysia,2020-03-01T10:13:19,0,0,0,1.4854,103.7618,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Kedah,Malaysia,2020-03-01T10:13:19,0,0,0,6.1184,100.3685,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Kelantan,Malaysia,2020-03-01T10:13:19,0,0,0,6.1254,102.2381,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Melaka,Malaysia,2020-03-01T10:13:19,0,0,0,2.1896,102.2501,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Negeri Sembilan,Malaysia,2020-03-01T10:13:19,0,0,0,2.7258,101.9424,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Pahang,Malaysia,2020-03-01T10:13:19,0,0,0,3.8126,103.3256,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Perak,Malaysia,2020-03-01T10:13:19,0,0,0,4.5921,101.0901,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Perlis,Malaysia,2020-03-01T10:13:19,0,0,0,6.4449,100.2048,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Pulau Pinang,Malaysia,2020-03-01T10:13:19,0,0,0,5.4141,100.3288,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Sabah,Malaysia,2020-03-01T10:13:19,0,0,0,5.9788,116.0753,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Sarawak,Malaysia,2020-03-01T10:13:19,0,0,0,1.5533,110.3592,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Selangor,Malaysia,2020-03-01T10:13:19,0,0,0,3.0738,101.5183,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Terengganu,Malaysia,2020-03-01T10:13:19,0,0,0,5.3117,103.1324,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
W.P. Kuala Lumpur,Malaysia,2020-03-01T10:13:19,0,0,0,3.139,101.6869,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
W.P. Labuan,Malaysia,2020-03-01T10:13:19,0,0,0,5.2831,115.2308,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
W.P. Putrajaya,Malaysia,2020-03-01T10:13:19,0,0,0,2.9264,101.6964,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Unknown,Malaysia,2020-03-01T10:13:19,0,0,0,,,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Tonga,2020-03-01T10:13:19,0,0,0,-21.179,-175.1982,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Winter Olympics 2022,2020-03-01T10:13:19,0,0,0,39.9042,116.4074,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Antarctica,2020-03-01T10:13:19,0,0,0,-71.9499,23.347,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Jersey,United Kingdom,2020-03-01T10:13:19,0,0,0,49.2138,-2.1358,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Guernsey,United Kingdom,2020-03-01T10:13:19,0,0,0,49.448196,-2.58949,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,"Korea, North",2020-03-01T10:13:19,0,0,0,40.3399,127.5101,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Unknown,Ukraine,2020-03-01T10:13:19,0,0,0,,,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
England,United Kingdom,2020-03-01T10:13:19,0,3,0,52.3555,-1.1743,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Northern Ireland,United Kingdom,2020-03-01T10:13:19,0,0,0,54.7877,-6.4923,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Scotland,United Kingdom,2020-03-01T10:13:19,0,0,0,56.4907,-4.2026,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Wales,United Kingdom,2020-03-01T10:13:19,0,0,0,52.1307,-3.7837,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Nauru,2020-03-01T10:13:19,0,0,0,-0.5228,166.9315,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Niue,New Zealand,2020-03-01T10:13:19,0,0,0,-19.0544,-169.8672,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Tuvalu,2020-03-01T10:13:19,0,0,0,-7.1095,177.6493,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Pitcairn Islands,United Kingdom,2020-03-01T10:13:19,0,0,0,-24.3768,-128.3242,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
